course_name,related_url,application_link,detail
Continuing Professional Development (CPD) Course March 2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2024,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2024,
Continuing Professional Development (CPD) Course October 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-october-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-october-2023,
Continuing Professional Development (CPD) Course September 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-september-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-september-2023,
Continuing Professional Development (CPD) Course June 2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2023,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2023,
Continuing Professional Development (CPD) Course November 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2022,
Continuing Professional Development (CPD) Course July 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-July-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-July-2022,
Continuing Professional Development (CPD) Course Mar 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-mar-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-mar-2022,
Continuing Professional Development (CPD) Course Feb 2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-feb-2022,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-feb-2022,
Continuing Professional Development (CPD) Course Nov 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-nov-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-nov-2021,
Continuing Professional Development (CPD) Course June 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2021,
Continuing Professional Development (CPD) Course March 2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2021,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-march-2021,
Continuing Professional Development (CPD) Second Term 2020 (2),https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-second-term-2020-2,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-second-term-2020-2,
Continuing Professional Development (CPD) Second Term 2020,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-second-term-2020,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-second-term-2020,
Continuing Professional Development (CPD) First Term 2020,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-1st-2020,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-1st-2020,
Continuing Professional Development (CPD) Course Nov 2019,https://www.hkcii.org/index.php?page=copy-of-continuing-professional-development-cpd-course-june-2019,https://www.hkcii.org/index.php?page=copy-of-continuing-professional-development-cpd-course-june-2019,
Continuing Professional Development (CPD) Course June 2019,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2019,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-june-2019,
Continuing Professional Development (CPD) Course November 2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-november-2018,
Continuing Professional Development (CPD) Course September 2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-sept-2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-sept-2018,
Continuing Professional Development (CPD) Course May 2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-may-2018,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-may-2018,
Continuing Professional Development (CPD) Course December 2017,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-december-2017,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-december-2017,
Continuing Professional Development (CPD) Course May 2017,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-may-2017,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-may-2017,
Continuing Professional Development (CPD) Course 26 November 2016 & 3 December 2016,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-26-november-2016-3-december-2016,https://www.hkcii.org/index.php?page=continuing-professional-development-cpd-course-26-november-2016-3-december-2016,
Self - Learning CASH Selling Video,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-cash-selling-video,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-cash-selling-video,Sales techniques developed through observation of highly successful people. Focused on identifying and uncovering customer needs in order to be able to position our products & services to match customer needs completely
Self-learning Courageous Conversations Videos,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-courageous-conversations-videos,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-courageous-conversations-videos,Courageous Conversations program developed from skills observed in other training sessions as well as interviews with managers/supervisors and HR Managers from Multinational Organizations. Focused on helping people develop confidence & skills to have those difficult conversations and provide constructive feedback to help people around them develop and grow.
Self-learning Coaching Skills Videos,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-coaching-skills-videos,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-coaching-skills-videos,Coaching skills developed through observation of highly successful coaches/trainers and past participants in a coaching capacity. Focused on supporting teams achieve their potential through working together effectively while enhancing their own personal skills for future growth.
Self-learning Influencing Without Authority Video,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-influencing-without-authority-video,https://cpduk.co.uk/courses/ehp-hong-kong-ltd-self-learning-influencing-without-authority-video,Influencing Without Authority was developed in response to clients who were looking for enhancing the communication skills of their people especially in the area of influencing. People do not always have authority of others and so the skills needed to convince people to their way of thinking became critical for Managers & Supervisors. In fact the program has been expanded to people having to convince others in all walks of life and not just in the business context.
